v_products_model,v_categories_name_1
"0005-00000001-001","Airway / ALS"
"0005-00000002-001","Airway / ALS"
"0005-00000003-001","Airway / ALS"
"0005-00000004-001","Airway / ALS"
"0005-00000006-001","Airway / ALS"
"0005-00000007-001","Airway / ALS"
"0005-00000008-001","Airway / ALS"
"0005-00000009-003","Airway / ALS"
"0005-00000010-003","Airway / ALS"
"0005-00000011-003","Airway / ALS"
"0005-00000012-003","Airway / ALS"
"0005-00000013-003","Airway / ALS"
"0005-00000014-003","Airway / ALS"
"0005-00000015-001","Airway / ALS"
"0005-00000016-003","Airway / ALS"
"0005-00000017-003","Airway / ALS"
"0005-00000018-003","Airway / ALS"
"0005-00000019-003","Airway / ALS"
"0005-00000020-003","Airway / ALS"
"0005-00000021-003","Airway / ALS"
"0005-00000022-001","Airway / ALS"
"0005-00000023-001","Airway / ALS"
"0005-00000024-001","Airway / ALS"
"0005-00000025-001","Airway / ALS"
"0005-00000026-001","Airway / ALS"
"0005-00000027-001","Airway / ALS"
"0005-00000028-001","Airway / ALS"
"0005-00000029-001","Airway / ALS"
"0005-00000031-001","Airway / ALS"
"0005-00000005-001","Airway / ALS"
"0005-00000030-001","Airway / ALS"
"0020-00000038-001","Airway / ALS"
"0005-00000008-002","Airway / ALS"
"0005-00000032-001","Airway / ALS"
"0005-00000003-002","Airway / ALS"
"0005-00000004-002","Airway / ALS"
"0005-00000034-001","Airway / ALS"
"0005-00000035-001","Airway / ALS"
"0005-00000004-003","Airway / ALS"
"0005-00000004-004","Airway / ALS"
"0005-00000009-004","Airway / ALS"
"0005-00000010-004","Airway / ALS"
"0005-00000011-004","Airway / ALS"
"0005-00000012-004","Airway / ALS"
"0005-00000013-004","Airway / ALS"
"0005-00000014-004","Airway / ALS"
"0005-00000016-004","Airway / ALS"
"0005-00000017-004","Airway / ALS"
"0005-00000018-004","Airway / ALS"
"0005-00000019-004","Airway / ALS"
"0005-00000020-004","Airway / ALS"
"0005-00000021-004","Airway / ALS"
"0005-00000039-001","Airway / ALS"
"0005-00000040-001","Airway / ALS"
"0005-00000041-001","Airway / ALS"
"0005-00000042-001","Airway / ALS"
"0005-00000043-001","Airway / ALS"
"0005-00000044-001","Airway / ALS"
"0005-00000045-001","Airway / ALS"
"0005-00000046-001","Airway / ALS"
"0005-00000037-001","Airway / ALS"
"0005-00000038-001","Airway / ALS"
"0010-00000001-001","Airway / Laryngoscopy"
"0010-00000002-001","Airway / Laryngoscopy"
"0010-00000003-001","Airway / Laryngoscopy"
"0010-00000004-001","Airway / Laryngoscopy"
"0010-00000005-001","Airway / Laryngoscopy"
"0010-00000006-001","Airway / Laryngoscopy"
"0010-00000007-001","Airway / Laryngoscopy"
"0010-00000008-001","Airway / Laryngoscopy"
"0010-00000009-001","Airway / Laryngoscopy"
"0010-00000010-001","Airway / Laryngoscopy"
"0010-00000010-002","Airway / Laryngoscopy"
"0015-00000001-001","Airway / Suction"
"0015-00000002-001","Airway / Suction"
"0015-00000003-001","Airway / Suction"
"0015-00000004-001","Airway / Suction"
"0015-00000005-001","Airway / Suction"
"0015-00000006-001","Airway / Suction"
"0015-00000007-001","Airway / Suction"
"0015-00000008-001","Airway / Suction"
"0015-00000009-001","Airway / Suction"
"0015-00000010-001","Airway / Suction"
"0015-00000011-001","Airway / Suction"
"0015-00000012-001","Airway / Suction"
"0015-00000013-001","Airway / Suction"
"0015-00000014-001","Airway / Suction"
"0015-00000015-001","Airway / Suction"
"0015-00000016-001","Airway / Suction"
"0015-00000017-001","Airway / Suction"
"0015-00000019-001","Airway / Suction"
"0015-00000018-001","Airway / Suction"
"0015-00000020-001","Airway / Suction"
"0015-00000021-001","Airway / Suction"
"0015-00000019-002","Airway / Suction"
"0015-00000025-001","Airway / Suction"
"0015-00000012-002","Airway / Suction"
"0020-00000001-001","Airway / Supplies"
"0020-00000002-001","Airway / Supplies"
"0020-00000003-001","Airway / Supplies"
"0020-00000004-001","Airway / Supplies"
"0020-00000005-001","Airway / Supplies"
"0020-00000006-001","Airway / Supplies"
"0020-00000007-001","Airway / Supplies"
"0020-00000008-001","Airway / Supplies"
"0020-00000009-001","Airway / Supplies"
"0020-00000010-001","Airway / Supplies"
"0020-00000011-001","Airway / Supplies"
"0020-00000012-001","Airway / Supplies"
"0020-00000013-001","Airway / Supplies"
"0020-00000014-001","Airway / Supplies"
"0020-00000015-001","Airway / Supplies"
"0020-00000016-001","Airway / Supplies"
"0020-00000017-001","Airway / Supplies"
"0020-00000018-001","Airway / Supplies"
"0020-00000019-001","Airway / Supplies"
"0020-00000020-001","Airway / Supplies"
"0020-00000021-001","Airway / Supplies"
"0020-00000022-001","Airway / Supplies"
"0020-00000023-001","Airway / Supplies"
"0020-00000024-001","Airway / Supplies"
"0020-00000025-001","Airway / Supplies"
"0020-00000026-001","Airway / Supplies"
"0020-00000027-001","Airway / Supplies"
"0020-00000028-001","Airway / Supplies"
"0020-00000029-001","Airway / Supplies"
"0020-00000030-001","Airway / Supplies"
"0020-00000031-001","Airway / Supplies"
"0020-00000032-001","Airway / Supplies"
"0020-00000033-001","Airway / Supplies"
"0020-00000034-001","Airway / Supplies"
"0020-00000035-001","Airway / Supplies"
"0020-00000036-001","Airway / Supplies"
"0020-00000037-001","Airway / Supplies"
"0020-00000040-001","Airway / Supplies"
"0020-00000041-001","Airway / Supplies"
"0020-00000042-001","Airway / Supplies"
"0020-00000043-001","Airway / Supplies"
"0020-00000044-001","Airway / Supplies"
"0020-00000019-002","Airway / Supplies"
"0020-00000020-002","Airway / Supplies"
"0020-00000019-003","Airway / Supplies"
"0020-00000002-002","Airway / Supplies"
"0020-00000003-002","Airway / Supplies"
"0020-00000004-002","Airway / Supplies"
"0020-00000053-001","Airway / Supplies"
"0020-00000054-001","Airway / Supplies"
"0020-00000055-001","Airway / Supplies"
"0020-00000056-001","Airway / Supplies"
"0020-00000057-001","Airway / Supplies"
"0020-00000058-001","Airway / Supplies"
"0020-00000059-001","Airway / Supplies"
"0020-00000060-001","Airway / Supplies"
"0020-00000019-004","Airway / Supplies"
"0030-00000001-001","C-Spine"
"0030-00000002-001","C-Spine"
"0030-00000003-001","C-Spine"
"0030-00000004-001","C-Spine"
"0030-00000005-001","C-Spine"
"0030-00000006-001","C-Spine"
"0030-00000007-001","C-Spine"
"0030-00000008-001","C-Spine"
"0030-00000009-001","C-Spine"
"0030-00000004-002","C-Spine"
"0030-00000005-002","C-Spine"
"0030-00000010-001","C-Spine"
"0030-00000012-001","C-Spine"
"0045-00000001-001","ECG Supplies"
"0045-00000002-001","ECG Supplies"
"0045-00000004-001","ECG Supplies"
"0045-00000005-001","ECG Supplies"
"0045-00000006-001","ECG Supplies"
"0045-00000007-001","ECG Supplies"
"0045-00000008-001","ECG Supplies"
"0045-00000009-001","ECG Supplies"
"0045-00000010-001","ECG Supplies"
"0045-00000011-001","ECG Supplies"
"0045-00000012-001","ECG Supplies"
"0045-00000013-001","ECG Supplies"
"0045-00000014-001","ECG Supplies"
"0045-00000015-001","ECG Supplies"
"0045-00000016-001","ECG Supplies"
"0045-00000017-001","ECG Supplies"
"0045-00000018-001","ECG Supplies"
"0045-00000019-001","ECG Supplies"
"0045-00000020-001","ECG Supplies"
"0045-00000021-001","ECG Supplies"
"0045-00000022-001","ECG Supplies"
"0045-00000023-001","ECG Supplies"
"0045-00000003-001","ECG Supplies"
"0045-00000032-001","ECG Supplies"
"0045-00000007-002","ECG Supplies"
"0045-00000043-001","ECG Supplies"
"0045-00000044-001","ECG Supplies"
"0045-00000048-001","ECG Supplies"
"0045-00000033-001","ECG Supplies"
"0045-00000045-001","ECG Supplies"
"0045-00000046-001","ECG Supplies"
"0045-00000034-002","ECG Supplies"
"0045-00000049-001","ECG Supplies"
"0045-00000061-001","ECG Supplies"
"0045-00000007-005","ECG Supplies"
"0045-00000011-002","ECG Supplies"
"0045-00000014-003","ECG Supplies"
"0045-00000025-001","ECG Supplies"
"0045-00000061-002","ECG Supplies"
"0045-00000052-002","ECG Supplies"
"0045-00000008-002","ECG Supplies"
"0050-00000001-001","EPCR System Supplies"
"0050-00000002-001","EPCR System Supplies"
"0050-00000003-001","EPCR System Supplies"
"0050-00000004-001","EPCR System Supplies"
"0050-00000005-001","EPCR System Supplies"
"0055-00000001-001","EZ-IO"
"0055-00000003-001","EZ-IO"
"0055-00000004-001","EZ-IO"
"0055-00000005-001","EZ-IO"
"0055-00000006-001","EZ-IO"
"0055-00000007-001","EZ-IO"
"0055-00000008-001","EZ-IO"
"0055-00000009-001","EZ-IO"
"0055-00000010-001","EZ-IO"
"0055-00000006-002","EZ-IO"
"0055-00000011-001","EZ-IO"
"0060-00000001-001","Forms"
"0060-00000003-001","Forms"
"0060-00000004-001","Forms"
"0060-00000005-001","Forms"
"0060-00000006-001","Forms"
"0060-00000007-001","Forms"
"0060-00000008-001","Forms"
"0060-00000009-001","Forms"
"0060-00000010-001","Forms"
"0060-00000002-001","Forms"
"0065-00000001-001","General Maintenance"
"0065-00000002-001","General Maintenance"
"0065-00000003-001","General Maintenance"
"0065-00000004-001","General Maintenance"
"0065-00000005-001","General Maintenance"
"0065-00000006-001","General Maintenance"
"0065-00000007-001","General Maintenance"
"0065-00000008-001","General Maintenance"
"0065-00000009-001","General Maintenance"
"0065-00000011-001","General Maintenance"
"0065-00000012-001","General Maintenance"
"0065-00000013-001","General Maintenance"
"0065-00000014-001","General Maintenance"
"0065-00000015-001","General Maintenance"
"0065-00000016-001","General Maintenance"
"0065-00000017-001","General Maintenance"
"0065-00000018-001","General Maintenance"
"0065-00000019-001","General Maintenance"
"0065-00000020-001","General Maintenance"
"0065-00000021-001","General Maintenance"
"0065-00000022-001","General Maintenance"
"0065-00000023-001","General Maintenance"
"0065-00000024-001","General Maintenance"
"0065-00000025-001","General Maintenance"
"0065-00000027-001","General Maintenance"
"0065-00000028-001","General Maintenance"
"0065-00000029-001","General Maintenance"
"0065-00000030-001","General Maintenance"
"0065-00000033-001","General Maintenance"
"0065-00000026-001","General Maintenance"
"0065-00000031-001","General Maintenance"
"0065-00000032-001","General Maintenance"
"0065-00000021-002","General Maintenance"
"0065-00000034-001","General Maintenance"
"0065-00000035-001","General Maintenance"
"0065-00000036-001","General Maintenance"
"0065-00000033-002","General Maintenance"
"0065-00000041-001","General Maintenance"
"0065-00000041-002","General Maintenance"
"0065-00000048-001","General Maintenance"
"0065-00000049-001","General Maintenance"
"0065-00000050-001","General Maintenance"
"0065-00000052-001","General Maintenance"
"0065-00000051-001","General Maintenance"
"0065-00000053-001","General Maintenance"
"0065-00000044-001","General Maintenance"
"0065-00000076-001","General Maintenance"
"0075-00000001-001","Glucometer / Supplies"
"0075-00000002-001","Glucometer / Supplies"
"0075-00000003-001","Glucometer / Supplies"
"0075-00000004-001","Glucometer / Supplies"
"0075-00000005-001","Glucometer / Supplies"
"0075-00000006-001","Glucometer / Supplies"
"0075-00000007-001","Glucometer / Supplies"
"0075-00000008-001","Glucometer / Supplies"
"0075-00000009-001","Glucometer / Supplies"
"0075-00000010-001","Glucometer / Supplies"
"0075-00000005-002","Glucometer / Supplies"
"0075-00000006-002","Glucometer / Supplies"
"0085-00000002-001","IV Supplies"
"0085-00000003-001","IV Supplies"
"0085-00000004-001","IV Supplies"
"0085-00000005-001","IV Supplies"
"0085-00000006-001","IV Supplies"
"0085-00000007-001","IV Supplies"
"0085-00000014-001","IV Supplies"
"0085-00000027-001","IV Supplies"
"0085-00000028-001","IV Supplies"
"0085-00000029-001","IV Supplies"
"0085-00000030-001","IV Supplies"
"0085-00000032-001","IV Supplies"
"0085-00000034-001","IV Supplies"
"0085-00000043-001","IV Supplies"
"0085-00000048-001","IV Supplies"
"0085-00000050-001","IV Supplies"
"0085-00000063-001","IV Supplies"
"0085-00000076-001","IV Supplies"
"0085-00000078-001","IV Supplies"
"0085-00000051-001","IV Supplies"
"0085-00000077-001","IV Supplies"
"0085-00000014-002","IV Supplies"
"0085-00000043-002","IV Supplies"
"0085-00000063-002","IV Supplies"
"0085-00000002-002","IV Supplies"
"0085-00000003-002","IV Supplies"
"0085-00000004-002","IV Supplies"
"0085-00000005-002","IV Supplies"
"0085-00000006-002","IV Supplies"
"0085-00000007-002","IV Supplies"
"0085-00000004-003","IV Supplies"
"0085-00000005-003","IV Supplies"
"0085-00000006-003","IV Supplies"
"0085-00000007-003","IV Supplies"
"0085-00000003-003","IV Supplies"
"0085-00000028-002","IV Supplies"
"0090-00000001-001","Kits and Sterile Packs"
"0090-00000002-001","Kits and Sterile Packs"
"0090-00000003-001","Kits and Sterile Packs"
"0095-00000001-001","Linens"
"0095-00000003-001","Linens"
"0095-00000004-001","Linens"
"0095-00000005-001","Linens"
"0095-00000006-001","Linens"
"0095-00000002-001","Linens"
"0100-00000001-001","Medical Gas and Delivery"
"0125-00000001-001","Medical Gas and Delivery"
"0125-00000002-001","Medical Gas and Delivery"
"0125-00000003-001","Medical Gas and Delivery"
"0125-00000004-001","Medical Gas and Delivery"
"0125-00000005-001","Medical Gas and Delivery"
"0125-00000006-001","Medical Gas and Delivery"
"0125-00000007-001","Medical Gas and Delivery"
"0125-00000008-001","Medical Gas and Delivery"
"0125-00000009-001","Medical Gas and Delivery"
"0115-00000001-001","Office Supplies"
"0115-00000002-001","Office Supplies"
"0115-00000003-001","Office Supplies"
"0130-00000001-001","Patient Assessment"
"0130-00000002-001","Patient Assessment"
"0130-00000003-001","Patient Assessment"
"0130-00000004-001","Patient Assessment"
"0130-00000005-001","Patient Assessment"
"0130-00000006-001","Patient Assessment"
"0130-00000007-001","Patient Assessment"
"0130-00000008-001","Patient Assessment"
"0130-00000009-001","Patient Assessment"
"0130-00000010-001","Patient Assessment"
"0130-00000011-001","Patient Assessment"
"0130-00000012-001","Patient Assessment"
"0130-00000013-001","Patient Assessment"
"0130-00000014-001","Patient Assessment"
"0130-00000015-001","Patient Assessment"
"0130-00000016-001","Patient Assessment"
"0130-00000008-002","Patient Assessment"
"0130-00000007-002","Patient Assessment"
"0130-00000025-001","Patient Assessment"
"0130-00000028-001","Patient Assessment"
"0130-00000025-001","Patient Assessment"
"0130-00000029-001","Patient Assessment"
"0130-00000030-001","Patient Assessment"
"0130-00000031-001","Patient Assessment"
"0130-00000032-001","Patient Assessment"
"0130-00000033-001","Patient Assessment"
"0130-00000034-001","Patient Assessment"
"0130-00000035-001","Patient Assessment"
"0130-00000036-001","Patient Assessment"
"0140-00000001-001","PPE"
"0140-00000005-001","PPE"
"0140-00000006-001","PPE"
"0140-00000007-001","PPE"
"0140-00000008-001","PPE"
"0140-00000010-001","PPE"
"0140-00000011-001","PPE"
"0140-00000012-001","PPE"
"0140-00000015-001","PPE"
"0140-00000016-001","PPE"
"0140-00000022-001","PPE"
"0140-00000023-001","PPE"
"0140-00000024-001","PPE"
"0140-00000025-001","PPE"
"0140-00000026-001","PPE"
"0140-00000027-001","PPE"
"0140-00000028-001","PPE"
"0140-00000029-001","PPE"
"0140-00000030-001","PPE"
"0140-00000031-001","PPE"
"0140-00000032-001","PPE"
"0140-00000034-001","PPE"
"0140-00000035-001","PPE"
"0140-00000038-001","PPE"
"0140-00000039-001","PPE"
"0140-00000040-001","PPE"
"0140-00000042-001","PPE"
"0140-00000044-001","PPE"
"0140-00000045-001","PPE"
"0140-00000065-001","PPE"
"0140-00000135-001","PPE"
"0140-00000066-001","PPE"
"0140-00000041-001","PPE"
"0140-00000136-001","PPE"
"0140-00000089-001","PPE"
"0140-00000090-001","PPE"
"0140-00000040-002","PPE"
"0140-00000039-002","PPE"
"0140-00000131-001","PPE"
"0140-00000132-001","PPE"
"0140-00000031-002","PPE"
"0140-00000134-001","PPE"
"0140-00000146-001","PPE"
"0140-00000149-001","PPE"
"0140-00000152-001","PPE"
"0140-00000088-001","PPE"
"0140-00000151-001","PPE"
"0140-00000034-002","PPE"
"0140-00000158-001","PPE"
"0150-00000001-001","Splinting"
"0150-00000002-001","Splinting"
"0150-00000003-001","Splinting"
"0150-00000004-001","Splinting"
"0150-00000005-001","Splinting"
"0150-00000006-001","Splinting"
"0150-00000007-001","Splinting"
"0150-00000008-001","Splinting"
"0150-00000009-001","Splinting"
"0150-00000010-001","Splinting"
"0150-00000011-001","Splinting"
"0150-00000012-001","Splinting"
"0150-00000013-001","Splinting"
"0150-00000014-001","Splinting"
"0150-00000004-002","Splinting"
"0155-00000001-001","SpO2 Supplies"
"0155-00000002-001","SpO2 Supplies"
"0155-00000003-001","SpO2 Supplies"
"0155-00000004-001","SpO2 Supplies"
"0155-00000005-001","SpO2 Supplies"
"0155-00000006-001","SpO2 Supplies"
